V1,V2,V3,V4,V5,Y
407.514,3.9835,58.81,4,6,0
408.355,4.2055,72.09,4,10,0
330.39,1.8077,57.69,4,7,0
388.42,2.0184,95.12,2,8,0
339.42,2.00324,50.74,4,6,0
364.496,3.3949,67.35,3,8,0
436.363,1.5312,155.57,5,13,0
373.478,2.2581,80.32,2,7,0
288.347,3.30772,33.2,3,5,0
395.26,4.31862,58.12,4,6,0
370.518,4.85454,33.73,3,5,0
350.378,3.99368,78.67,3,7,0
263.243,3.5403,38.33,2,5,0
207.254,1.5549,38.33,3,4,0
410.524,4.52982,69.04,4,8,0
453.325,5.7752,71.45,4,7,0
354.413,3.6304,63.61,4,5,0
332.488,3.8598,41.57,2,4,0
302.197,3.61919,46.75,2,6,0
407.561,3.6219,71.53,3,8,0
429.464,3.8043,73.34,2,10,0
409.555,4.3218,47.36,4,6,0
215.216,1.558,79.63,3,6,0
302.334,1.17496,96.11,2,7,0
347.44,3.06162,68.46,3,7,0
372.471,4.10962,75.27,3,7,0
279.339,3.5411,23.39,4,3,0
428.47,1.6682,110.72,4,10,0
356.466,3.50732,58.64,3,5,0
398.854,2.9355,66.73,4,9,0
290.388,3.1799,59.06,2,5,0
372.421,2.1985,100.74,3,7,0
408.863,2.37408,105.49,2,9,0
244.685,2.75312,43.08,3,5,0
471.531,3.3948,107.05,3,9,0
357.21,3.23882,80.3,2,12,0
407.463,2.71852,89.54,2,8,0
273.336,1.03712,47.36,3,5,0
357.365,3.4294,65.37,4,5,0
522.099,6.82974,71.84,5,9,0
491.5,3.681,110.14,4,10,0
424.505,1.07912,77.53,5,9,0
237.734,2.5144,18.84,3,4,0
323.348,2.55632,82.53,3,5,0
409.872,4.6928,92.7,3,9,0
322.386,1.4946,68.61,3,7,0
176.628,1.3204,41.99,1,5,0
264.285,0.4455,92.71,2,7,0
304.394,0.6918,53.76,3,6,0
324.167,2.9175,63.58,2,7,0
436.961,3.08822,66.92,3,8,0
350.212,3.2041,46.61,3,5,0
396.399,2.185,102.01,3,8,0
393.867,3.70492,87.07,2,7,0
388.943,4.4206,42.32,3,6,0
367.405,1.9519,67.92,4,7,0
368.886,3.3123,71.34,3,7,0
386.492,3.1016,42.31,4,6,0
353.374,2.8854,87.07,3,6,0
296.798,2.19132,32.78,2,5,0
472.035,5.3197,63.99,4,8,0
335.337,1.9568,101.93,3,8,0
313.386,2.70054,83.56,3,7,0
316.317,1.20758,120.65,1,8,0
227.694,4.34982,12.89,3,2,0
289.291,1.6808,88.73,3,7,0
417.128,3.4887,62.13,2,11,0
382.372,2.65928,105.19,4,8,0
344.499,3.5749,41.57,3,4,0
244.338,3.34656,37.91,2,3,0
449.598,2.5062,70.16,4,9,0
352.843,3.94186,68.29,2,7,0
443.454,3.55662,80.04,4,10,0
615.108,5.0707,110.72,5,13,0
328.824,5.3502,28.74,4,5,0
299.735,1.7897,74.68,2,7,0
408.48,5.8812,42.74,5,5,0
426.579,2.43166,93.73,2,8,0
393.556,5.24674,36.86,4,5,0
243.31,2.6933,51.62,3,4,0
382.394,2.4839,116.4,3,10,0
500.375,0.315300000000001,122.63,3,12,0
330.775,2.52232,83.45,2,7,0
438.547,2.8219,55.89,4,7,0
386.429,2.8023,86.63,4,8,0
336.413,1.79956,88.41,2,7,0
331.799,3.332,55.4,2,5,0
367.92,5.74500000000001,20.31,3,3,0
312.344,3.31012,61.69,3,5,0
399.841,4.9055,72.18,5,7,0
367.434,2.9566,95.57,4,8,0
458.581,5.35130000000001,42.32,5,6,0
318.398,3.01454,71.34,2,6,0
178.191,1.2789,55.14,1,4,0
463.515,3.82742,99.0,4,9,0
264.366,4.8201,0.0,1,5,0
445.258,4.6942,108.64,3,9,0
395.337,1.1098,95.58,3,10,0
461.494,3.3818,90.52,4,11,0
378.516,4.4008,41.57,4,4,0
236.334,2.3836,0.0,0,3,0
425.47,2.79652,130.15,3,10,0
512.522,3.607,117.4,5,10,0
370.474,4.40038,63.41,3,6,0
292.335,0.8604,78.87,2,6,0
300.321,2.84798,84.82,4,5,0
336.435,4.316,40.62,3,4,0
432.86,3.1909,86.33,4,9,0
476.665,0.723000000000003,76.69,1,11,0
489.594,2.9445,114.04,3,10,0
459.587,3.33454,60.93,4,8,0
352.312,3.41622,63.83,3,8,0
542.589,1.7606,139.12,3,12,0
451.567,3.4553,71.11,4,7,0
440.418,3.2007,68.31,4,10,0
352.365,3.1149,72.19,3,6,0
362.385,3.1254,79.62,4,6,0
401.293,5.59962,51.22,4,6,0
488.932,2.1507,142.62,3,12,0
451.567,4.3887,44.81,5,7,0
392.253,2.1592,80.32,2,7,0
378.52,4.22528,61.18,3,5,0
484.618,4.36344,90.66,3,8,0
300.383,2.3915,47.25,3,5,0
389.307,6.5946,33.29,3,6,0
276.336,1.5565,43.29,3,5,0
285.347,3.81728,48.18,2,5,0
409.442,1.9895,91.56,4,8,0
249.383,2.94549,33.61,5,4,0
342.811,4.0676,74.43,4,7,0
432.59,2.3774,73.91,3,8,0
386.477,3.74154,96.11,3,8,0
355.394,3.5571,59.23,4,7,0
365.842,1.8817,70.58,3,8,0
645.713,4.1539,150.91,6,13,0
444.559,4.9625,88.52,4,9,0
380.473,3.284,90.01,3,7,0
373.312,2.0815,91.65,3,11,0
281.315,3.62202,67.01,3,5,0
336.329,1.4175,127.22,2,10,0
328.412,2.4764,43.7,4,5,0
500.861,3.8143,105.02,3,13,0
418.471,1.8482,102.01,3,9,0
443.544,3.05352,62.62,4,8,0
274.28,2.37192,90.06,2,7,0
469.447,6.2776,84.23,5,8,0
373.541,2.74874,44.81,3,5,0
383.4,2.0655,93.14,3,7,0
441.509,1.9639,92.83,5,9,0
395.488,3.5765,85.32,4,8,0
321.376,4.22454,59.31,3,4,0
255.277,1.8197,74.58,2,5,0
442.54,4.979,58.64,5,6,0
370.365,1.2735,109.0,3,9,0
428.558,4.0375,78.27,4,8,0
451.552,2.4019,86.8,4,9,0
354.229,2.59724,71.09,2,7,0
234.284,1.7789,70.67,2,6,0
359.434,3.2158,100.32,2,9,0
370.438,1.471,107.95,3,9,0
312.38,0.15624,115.79,2,10,0
358.85,4.2614,54.98,3,6,0
565.645,5.57302000000001,78.0,7,8,0
461.301,4.61332,94.59,3,9,0
414.845,3.9903,97.22,3,8,0
243.31,2.7674,47.78,2,4,0
328.363,2.9757,32.26,3,8,0
346.258,2.7351,84.22,1,7,0
360.882,1.8825,79.82,1,7,0
384.455,2.7635,67.23,4,7,0
514.387,2.6896,121.88,3,12,0
489.597,3.4575,78.0,5,8,0
475.97,1.891,88.18,4,11,0
391.427,2.4237,74.87,5,7,0
322.216,5.6643,32.59,3,5,0
402.76,3.81232,97.16,2,11,0
482.205,1.443,35.11,4,7,0
340.449,1.7421,81.91,2,8,0
384.476,2.8941,67.87,6,6,0
361.442,1.063,79.9,3,7,0
433.559,3.58096,98.48,3,10,0
422.419,5.5671,15.27,3,10,0
409.417,3.8441,92.55,4,8,0
398.575,2.77292,75.27,2,8,0
430.508,5.02112,70.31,4,7,0
457.496,5.4123,65.2,4,8,0
266.349,2.2884,84.32,1,7,0
407.543,4.186,63.91,5,7,0
406.504,2.0467,83.99,4,8,0
357.542,4.01848,50.5,2,4,0
316.336,2.6577,69.04,3,7,0
402.52,4.26022,93.21,3,8,0
351.41,3.19192,92.94,3,7,0
318.42,4.97476,41.99,3,3,0
301.415,2.9067,46.09,3,5,0
367.471,3.77382,101.67,2,8,0
237.353,3.31202,37.81,2,5,0
297.314,2.847,81.15,3,6,0
358.442,1.9046,101.19,2,7,0
317.385,3.4758,68.12,2,5,0
320.37,1.70854,77.4,2,7,0
223.316,2.4158,21.7,1,3,0
238.239,1.8102,64.99,1,5,0
348.446,4.47824,53.17,3,4,0
358.442,1.58002,77.29,3,7,0
350.444,1.8503,92.26,3,8,0
354.472,1.54842,75.71,2,7,0
365.182,0.59742,32.98,2,8,0
400.475,2.47974,88.85,3,7,0
433.833,3.0913,144.19,3,12,0
450.608,3.9237,48.79,5,7,0
409.511,3.7299,66.65,5,7,0
444.516,4.17692,92.92,5,8,0
311.37,2.5975,83.56,3,7,0
541.652,6.24506,88.91,5,9,0
303.383,3.667,55.4,2,5,0
405.494,4.91582,59.75,4,5,0
306.409,3.2005,46.33,2,3,0
363.502,3.1135,44.37,3,6,0
296.411,2.7638,67.43,1,5,0
369.49,3.8123,53.6,3,6,0
327.359,2.84922,56.15,3,6,0
325.408,3.1734,47.56,3,4,0
342.439,4.17894,64.36,3,5,0
202.217,1.0928,66.91,2,5,0
452.894,4.6715,77.1,4,8,0
374.19,4.2342,68.54,3,6,0
408.501,5.89332000000001,41.9,4,4,0
411.458,2.7686,101.68,3,8,0
378.432,2.31408,86.95,3,7,0
326.421,2.6022,63.4,3,5,0
446.504,2.9576,88.77,4,10,0
179.647,0.9787,40.54,1,4,0
303.362,1.5094,80.73,3,6,0
281.747,2.3413,89.84,1,7,0
344.455,3.3085,58.64,3,5,0
299.33,1.8488,80.32,2,6,0
466.468,3.26254,143.3,2,12,0
461.522,2.75,83.52,5,9,0
387.439,4.33782,71.53,4,6,0
340.375,4.10264,57.9,3,5,0
177.034,2.1578,52.04,1,4,0
286.331,1.7915,71.33,3,5,0
285.815,2.68872,41.49,2,4,0
282.368,3.2635,37.52,3,4,0
498.967,2.5954,127.49,3,10,0
450.517,2.1763,124.81,3,11,0
300.333,3.9386,36.16,3,5,0
262.338,2.23242,70.67,2,6,0
407.305,3.121,66.48,2,8,0
511.604,2.7332,137.04,4,11,0
334.335,3.9857,97.16,3,7,0
425.485,2.98682,95.59,4,8,0
311.37,3.53309,72.0,3,7,0
334.357,0.8695,127.17,2,9,0
436.49,2.1466,107.23,3,11,0
345.468,2.8632,66.06,2,6,0
362.393,2.11808,120.92,4,8,0
310.317,3.07244,99.39,4,8,0
387.439,4.3353,77.25,4,6,0
375.384,2.84312,86.24,4,7,0
226.276,-0.0512999999999996,67.43,2,5,0
505.6,2.85822,89.27,5,10,0
368.444,3.3892,60.46,5,6,0
331.393,2.276,72.47,2,6,0
383.524,2.5828,100.63,2,10,0
282.434,2.7658,15.71,2,5,0
291.372,2.1397,63.24,2,5,0
323.248,5.16922,36.68,2,5,0
412.486,2.8395,93.73,2,7,0
308.428,2.8051,44.12,4,6,0
413.525,1.07812,124.32,3,11,0
381.426,4.8313,38.13,4,6,0
377.448,3.5117,73.57,4,7,0
354.469,4.17914,23.55,3,4,0
404.427,0.5758,117.8,3,11,0
360.278,2.0087,156.07,2,10,0
486.459,3.8613,57.69,3,13,0
451.589,1.72982,104.81,3,9,0
338.48,3.42032,43.95,3,5,0
339.778,4.8758,44.37,4,5,0
292.379,0.9336,53.01,2,5,0
439.556,4.4763,83.66,5,7,0
280.283,2.13092,75.27,3,5,0
486.572,4.6239,127.36,5,8,0
314.341,2.37944,80.57,2,6,0
275.329,2.9283,59.3,3,5,0
437.161,4.1938,50.72,2,7,0
279.814,2.1224,46.17,1,6,0
230.283,2.6612,24.06,1,5,0
401.26,3.2461,67.76,3,6,0
358.507,4.1036,45.48,3,5,0
325.412,3.16932,56.03,3,5,0
342.424,3.6775,69.04,3,7,0
333.413,1.1718,62.62,3,7,0
417.892,5.77392,42.68,5,5,0
498.495,3.2169,117.4,5,10,0
314.37,3.22372,79.56,2,7,0
488.609,4.53852,83.55,5,7,0
389.492,2.8469,68.23,3,6,0
495.564,2.6507,165.02,3,14,0
498.583,4.4272,74.35,6,8,0
487.044,5.51230000000001,67.67,4,8,0
260.261,-0.890979999999999,123.97,2,9,0
312.435,1.63824,49.85,2,6,0
421.906,2.60422,75.76,4,9,0
382.489,4.3466,61.53,3,7,0
279.315,0.9762,61.44,2,6,0
280.327,2.65322,55.12,3,4,0
442.606,6.77030000000001,16.13,8,2,0
344.386,2.5882,67.43,2,6,0
395.371,1.5878,115.14,4,9,0
486.594,2.34734,111.55,3,10,0
434.584,3.2032,53.76,4,6,0
404.899,0.251800000000001,169.39,2,11,0
470.61,5.38064000000001,59.38,4,7,0
375.45,1.627,79.81,3,8,0
448.433,3.187,101.8,4,10,0
372.266,5.1707,47.04,3,5,0
357.454,3.0151,56.59,3,6,0
459.502,1.3096,98.23,5,8,0
413.572,4.8222,80.66,4,8,0
407.511,2.1013,61.88,3,8,0
459.568,2.79944,87.23,3,9,0
367.243,3.0396,116.09,3,12,0
331.804,-0.277,74.29,2,9,0
433.464,3.50678,119.73,3,8,0
415.471,2.4069,131.49,3,9,0
430.486,2.16462,119.39,3,10,0
409.852,4.4039,58.29,5,8,0
480.609,3.0089,102.2,4,8,0
351.189,4.0657,75.36,3,7,0
275.304,1.6338,51.91,3,5,0
353.378,2.3786,102.23,3,7,0
348.449,4.28846,65.22,3,7,0
512.632,2.0115,99.26,5,10,0
342.355,1.5273,116.55,2,8,0
366.446,2.79492,87.74,3,7,0
444.531,2.0443,123.89,2,11,0
389.407,5.51922000000001,86.51,3,6,0
328.247,2.8716,80.0,3,7,0
365.792,3.0794,63.16,3,8,0
500.58,5.0096,91.41,5,9,0
372.406,2.8796,99.37,3,9,0
558.682,6.34092000000001,83.03,6,7,0
462.568,3.3103,85.38,3,9,0
361.789,1.2957,126.21,2,9,0
458.657,4.497,76.06,5,9,0
346.386,3.4925,74.44,4,5,0
380.488,1.0772,110.8,1,10,0
274.364,2.2028,54.26,2,4,0
346.386,3.16122,57.14,4,5,0
318.446,2.56932,50.99,2,6,0
429.473,2.7718,114.99,2,9,0
486.406,5.45580000000001,55.84,4,6,0
447.517,0.468500000000001,105.17,4,11,0
337.427,2.29448,86.25,3,6,0
511.991,2.6964,138.63,4,11,0
253.265,1.0122,65.07,3,6,0
379.441,3.86862,72.7,4,7,0
313.382,2.8879,63.99,3,6,0
235.327,2.1778,21.7,2,3,0
304.394,2.6642,32.26,3,6,0
403.442,2.19492,84.47,5,8,0
327.296,1.38622,104.29,3,8,0
427.291,2.6151,89.9,2,7,0
267.17,3.2689,15.6,2,3,0
366.82,3.4851,62.55,2,7,0
418.475,3.071,92.26,4,10,0
394.855,1.97212,81.01,3,8,0
471.517,3.375,100.8,5,9,0
436.537,4.9417,82.3,6,8,0
461.496,2.4303,141.29,3,11,0
254.245,1.5392,69.17,3,5,0
248.246,0.2418,111.44,2,8,0
270.288,2.5106,68.29,2,5,0
232.243,1.2646,72.53,2,6,0
435.593,4.5012,45.67,4,6,0
450.583,2.5854,72.96,5,7,0
432.549,4.43358,72.62,4,7,0
401.897,1.502,80.97,3,10,0
366.531,1.7704,68.17,2,7,0
309.705,2.71582,93.58,2,7,0
420.465,2.46554,92.75,5,7,0
192.247,1.98512,50.7,2,5,0
383.492,2.8866,69.31,3,6,0
322.405,2.1416,60.03,2,6,0
450.004,3.3239,53.09,4,8,0
282.299,3.15372,64.36,3,5,0
459.593,3.1136,87.74,2,9,0
357.439,2.15824,81.41,3,8,0
399.535,2.4585,60.93,3,6,0
289.224,2.8518,98.9,1,8,0
432.977,4.0559,67.23,4,8,0
334.235,2.6786,55.4,2,6,0
414.414,2.9509,119.21,3,9,0
375.5,5.0309,68.92,3,8,0
271.748,-3.0083,76.07,1,6,0
344.367,2.284,81.01,3,7,0
434.54,2.9371,82.08,4,7,0
281.355,3.5026,38.33,3,3,0
479.562,4.06852,79.93,5,10,0
302.33,1.80714,81.43,2,6,0
290.388,3.0874,49.41,3,5,0
362.426,2.5392,57.69,3,7,0
421.494,3.32302,75.88,3,9,0
398.444,2.4672,110.28,3,9,0
390.512,3.931,30.03,4,6,0
360.255,-0.635459999999998,38.77,3,5,0
276.361,2.18922,51.22,2,5,0
414.506,2.9322,73.09,5,8,0
356.853,4.196,46.42,4,5,0
418.52,3.2689,38.74,5,7,0
431.345,3.0882,78.27,3,10,0
493.976,5.0498,90.52,5,10,0
162.192,0.7522,41.13,2,3,0
396.494,1.9762,101.49,3,10,0
322.324,2.2726,90.13,3,7,0
142.206,-1.9758,48.12,2,4,0
384.885,3.7728,49.74,3,8,0
391.511,5.49332000000001,42.68,3,4,0
442.585,2.9972,73.82,4,8,0
341.323,2.3474,101.78,3,8,0
339.335,1.6911,55.84,2,9,0
392.839,3.473,86.75,2,8,0
348.335,3.1036,83.83,2,6,0
354.406,3.4659,63.79,3,6,0
341.418,0.9056,108.05,3,10,0
355.373,2.0972,81.81,4,8,0
245.282,3.5299,77.81,2,5,0
341.363,2.87014,73.86,3,6,0
428.485,3.2428,84.5,3,8,0
354.41,3.84291,73.57,3,7,0
333.413,1.40674,88.16,2,7,0
259.758,2.95852,38.33,1,5,0
397.95,4.95062,35.58,4,5,0
476.541,4.4664,125.82,5,11,0
394.5,2.4767,90.01,3,7,0
358.511,3.2468,47.61,3,6,0
398.44,3.0044,84.94,4,8,0
