"","Potency","MolWt","MolLogP","TPSA","RingCount","NumHeteroAtoms"
"1",0.0239,292.718,3.1095,66.76,2,5
"2",0.1694,334.253,4.1206,76.22,3,8
"3",4.7755,291.778,2.7972,52.49,3,4
"4",0.2685,281.311,3.0351,57.61,3,4
"5",15.1014,518.489,3.2557,7.12,4,5
"6",8.4921,254.285,3.4011,54.37,2,3
"7",13.4591,308.636,3.7491,12.47,1,5
"8",0.0301,159.033,-4.3511,75.72,1,6
"9",13.4591,369.227,3.8422,52.71,3,8
"10",10.691,234.28,2.2953,55.13,3,5
"11",13.4591,234.28,2.3189,55.13,2,5
"12",13.4591,277.433,3.73572,20.31,2,3
"13",1.9012,337.267,4.68308,36.15,3,5
"14",9.5283,285.299,3.563,53.72,3,5
"15",11.9955,288.372,3.4607,51.22,3,5
"16",5.3582,261.35,3.1897,54.88,2,5
"17",11.9955,262.696,3.4837,51.22,2,5
"18",2.3934,256.305,2.45488,53.33,1,4
"19",9.5283,417.512,3.01254,97.19,3,9
"20",15.1014,321.376,4.43972,51.47,3,4
"21",13.4591,298.385,5.4424,17.07,4,1
"22",0.1694,319.389,4.4289,47.9,4,5
"23",5.3582,293.278,3.6098,65.47,4,5
"24",23.9341,418.862,2.6051,102.65,3,10
"25",3.3808,302.462,4.1449,41.13,5,3
"26",6.012,470.547,3.6402,77.54,3,9
"27",1.9012,230.292,2.795,41.99,2,4
"28",5.3582,402.468,4.9472,100.9,3,7
"29",1.6944,296.347,3.941,43.37,3,4
"30",13.4591,231.299,3.0817,57.78,2,4
"31",8.4921,267.328,4.7147,42.24,3,3
"32",6.012,291.104,3.7591,52.06,3,5
"33",23.9341,324.13,3.0656,60.7,3,6
"34",11.9955,235.286,3.9324,26.03,3,2
"35",2.1331,440.54,3.97224,77.1,3,7
"36",7.5686,350.296,4.4396,57.38,3,8
"37",6.012,342.192,4.9614,42.24,3,4
"38",19.0115,265.316,3.65712,50.95,3,4
"39",8.4921,287.315,2.9366,60.55,2,5
"40",21.3313,245.347,3.42532,20.31,2,3
"41",19.0115,246.274,1.5646,91.23,3,7
"42",21.3313,284.146,3.4621,46.92,2,6
"43",6.012,275.304,3.45002,68.54,2,5
"44",19.0115,301.802,4.213,30.71,3,5
"45",10.691,248.307,2.72184,54.6,2,5
"46",0.9528,267.288,3.1973,61.04,3,5
"47",2.3934,264.712,1.5145,58.2,2,5
"48",16.9441,449.989,3.7162,88.91,3,10
"49",2.1331,298.385,5.4424,17.07,4,1
"50",8.4921,432.615,3.463,65.01,3,8
"51",26.8545,232.247,1.1745,91.23,3,7
"52",7.5686,244.363,3.99224,24.92,3,3
"53",4.7755,360.454,2.8331,67.87,3,6
"54",15.1014,274.389,3.65464,35.01,2,4
"55",19.0115,279.679,2.9565,60.7,3,6
"56",10.691,255.277,2.9015,60.06,3,5
"57",1.9012,320.44,4.653,33.42,3,4
"58",11.9955,255.317,3.5983,39.19,2,3
"59",9.5283,271.28,1.72612,95.89,3,7
"60",3.0131,336.394,2.85352,89.27,3,8
"61",16.9441,331.415,4.6548,29.54,4,3
"62",19.0115,268.36,4.4148,41.13,2,3
"63",0.6012,260.362,3.24852,34.89,2,4
"64",9.5283,426.369,4.1714,53.51,4,8
"65",7.5686,301.802,4.213,30.71,3,5
"66",1.1995,342.782,4.2657,64.36,4,6
"67",1.9012,295.342,2.58286,63.13,3,5
"68",2.3934,262.352,4.59762,17.07,3,1
