"alpha","MolMR","LabuteASA","NumValenceElectrons","HeavyAtomCount","TPSA"
62.98,24.4787,49.252644,48.0,9.0,36.99
68.17,29.9525,52.81235,52.0,9.0,58.56
74.84,32.151,52.347275,48.0,9.0,43.1
67.73,30.3271,50.94911,48.0,9.0,85.13
72.76,31.7479,53.038696,52.0,9.0,75.35
68.48,28.9088,52.6216,50.0,9.0,46.53
71.95,31.0448,53.62743,52.0,9.0,46.53
81.33,35.573,54.92611,50.0,9.0,21.59
51.78,22.5547,49.036236,52.0,9.0,29.1
79.39,33.729,55.4292,50.0,9.0,36.32
76.43,32.7078,54.86432,52.0,9.0,53.25
66.88,28.4506,52.253536,48.0,9.0,49.69
78.09,29.7747,48.499798,40.0,8.0,45.73
71.0,30.0508,53.21408,50.0,9.0,32.47
65.19,26.3223,50.7329,48.0,9.0,62.05
78.5,35.551,54.92611,50.0,9.0,21.59
72.3,33.0081,51.87209,48.0,9.0,70.6
82.79,35.392,55.79062,52.0,9.0,12.47
67.02,28.6442,52.370125,54.0,9.0,80.92
72.18,30.4605,53.288975,48.0,9.0,56.05
74.1,31.553,54.14356,48.0,9.0,18.46
78.39,34.224,55.19814,52.0,9.0,26.3
68.04,28.6328,52.6216,50.0,9.0,46.53
95.53,41.271,56.58415,48.0,9.0,0.0
93.73,39.229,57.647125,52.0,9.0,0.0
84.92,36.918,56.04124,48.0,9.0,3.24
78.81,33.331,55.144333,52.0,9.0,18.46
68.58,29.1474,51.69764,48.0,9.0,62.18
75.45,31.989,53.14316,46.0,9.0,20.08
64.82,30.4621,46.700077,44.0,8.0,64.08
88.67,32.742,53.507763,46.0,9.0,26.3
59.33,24.9675,45.38042,40.0,8.0,72.7
64.91,28.3076,49.98621,48.0,9.0,70.67
79.24,34.3125,55.01577,54.0,9.0,51.4
90.36,39.37,57.455368,54.0,9.0,17.07
89.1,37.982,56.454594,50.0,9.0,17.07
76.22,34.475,54.680542,52.0,9.0,30.82
74.85,31.5827,53.382286,48.0,9.0,41.63
68.25,24.5231,48.786102,48.0,9.0,88.79
75.86,32.484,53.78757,46.0,9.0,40.86
81.41,34.542,51.282185,46.0,8.0,0.0
81.75,34.6138,55.07564,48.0,9.0,20.23
66.79,28.3185,51.170727,48.0,9.0,66.4
72.06,31.582,49.341183,44.0,8.0,12.53
64.14,28.3768,47.770473,44.0,8.0,29.46
66.25,27.1035,50.94201,48.0,9.0,70.38
74.48,32.1105,53.818184,54.0,9.0,58.56
77.88,31.4817,53.85385,46.0,9.0,35.82
66.18,28.985,44.120377,42.0,7.0,20.31
64.08,26.7728,51.205402,50.0,9.0,68.38
78.01,30.3496,50.82264,48.0,9.0,87.29
84.44,35.2997,54.282604,48.0,9.0,28.68
76.29,32.3192,54.084835,50.0,9.0,70.04
74.55,30.9595,53.05792,50.0,9.0,59.24
76.73,31.78,54.024525,46.0,9.0,3.24
48.12,20.911,36.38818,32.0,6.0,40.86
